# 7231 stars found using the following parameters:
# sigma=0.50 roundness=0.05 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	1093.280712	24757.608618	     -1.00	   4226.03	    416.51	      3.61	      2.87	     63.25	     50.29	40.75	 4.079e+02	    -13.66	1	Gaussian	9990000000.000000	9990000000.000000
2	1	1153.856218	33321.778815	     -1.00	   3666.86	   2653.50	      2.92	      2.92	     51.09	     51.09	37.48	 3.510e+02	    -13.61	1	Gaussian	9990000000.000000	9990000000.000000
3	1	1111.778991	53479.501003	     -1.00	   1682.53	   2495.63	      2.47	      2.22	     43.30	     38.89	6.94	 2.658e+02	    -13.35	1	Gaussian	9990000000.000000	9990000000.000000
4	1	1080.840518	22524.383812	     -1.00	   3092.93	   1576.92	      3.29	      2.58	     57.61	     45.18	33.35	 5.296e+02	    -13.34	1	Gaussian	9990000000.000000	9990000000.000000
5	1	1110.907860	20568.690662	     -1.00	   5237.16	   1467.04	      2.87	      1.96	     50.31	     34.26	13.42	 2.738e+02	    -12.79	0	Gaussian	9990000000.000000	9990000000.000000
6	1	1078.844349	17419.983628	     -1.00	   2115.27	    458.50	      2.82	      2.33	     49.42	     40.72	42.49	 3.251e+02	    -12.78	0	Gaussian	9990000000.000000	9990000000.000000
7	1	1074.153064	22543.368414	     -1.00	   4556.43	   2550.29	      2.41	      2.04	     42.19	     35.79	15.34	 2.630e+02	    -12.75	1	Gaussian	9990000000.000000	9990000000.000000
8	1	1110.280699	18278.291204	     -1.00	   1172.90	   3912.53	      2.56	      2.30	     44.76	     40.27	-79.73	 3.026e+02	    -12.71	0	Gaussian	9990000000.000000	9990000000.000000
9	1	1077.377697	21560.234322	     -1.00	   4382.48	   1944.24	      2.40	      1.93	     41.97	     33.74	19.89	 2.863e+02	    -12.63	1	Gaussian	9990000000.000000	9990000000.000000
10	1	1109.087587	19698.967884	     -1.00	   2679.14	   2836.91	      2.32	      2.01	     40.63	     35.15	-1.11	 3.401e+02	    -12.54	0	Gaussian	9990000000.000000	9990000000.000000
