image	chan	mean	median	sigma	min	max	noise	avgDev	mad	sqrtbwmv	location	scale
1	0	1.589089e-03	1.544097e-03	1.598014e-03	0.000000e+00	8.508036e-01	3.568417e-05	8.719205e-05	3.878123e-05	6.019150e-05	1.541859e-03	5.774170e-05
1	1	2.475095e-03	2.401812e-03	2.101207e-03	1.611444e-03	1.000000e+00	4.001524e-05	1.220317e-04	4.663238e-05	7.329078e-05	2.398179e-03	6.925182e-05
1	2	2.016139e-03	1.963734e-03	1.838808e-03	1.167881e-03	9.066949e-01	3.534040e-05	9.730635e-05	4.132124e-05	6.418308e-05	1.961365e-03	6.159159e-05
2	0	1.096900e-03	1.051750e-03	1.594796e-03	0.000000e+00	8.227705e-01	3.559046e-05	8.655860e-05	3.813534e-05	5.919878e-05	1.049534e-03	5.675216e-05
2	1	1.984617e-03	1.911148e-03	2.095452e-03	1.403712e-03	1.000000e+00	3.995979e-05	1.211324e-04	4.549864e-05	7.163408e-05	1.907443e-03	6.760463e-05
2	2	1.540204e-03	1.487528e-03	1.813619e-03	6.008082e-04	8.486061e-01	3.519023e-05	9.685414e-05	4.085553e-05	6.328716e-05	1.485158e-03	6.068922e-05
3	0	1.435943e-03	1.391365e-03	1.574849e-03	0.000000e+00	8.183910e-01	3.469559e-05	8.459479e-05	3.695091e-05	5.736087e-05	1.389174e-03	5.495606e-05
3	1	2.285956e-03	2.213332e-03	2.073005e-03	1.513303e-03	1.000000e+00	3.883707e-05	1.182298e-04	4.395146e-05	6.904005e-05	2.209806e-03	6.509824e-05
3	2	1.868594e-03	1.816326e-03	1.803974e-03	9.419457e-04	8.638725e-01	3.433080e-05	9.511663e-05	3.957045e-05	6.149734e-05	1.813951e-03	5.893518e-05
4	0	1.980672e-03	1.939624e-03	1.449175e-03	0.000000e+00	7.434637e-01	3.194496e-05	7.819052e-05	3.432660e-05	5.331540e-05	1.937636e-03	5.108519e-05
4	1	2.765206e-03	2.698356e-03	1.920806e-03	2.208634e-03	1.000000e+00	3.568386e-05	1.095325e-04	4.118951e-05	6.442479e-05	2.695049e-03	6.077300e-05
4	2	2.357312e-03	2.308909e-03	1.681110e-03	1.528359e-03	8.302888e-01	3.153481e-05	8.808132e-05	3.674882e-05	5.699222e-05	2.306752e-03	5.461935e-05
5	0	8.962050e-04	8.506331e-04	1.600988e-03	0.000000e+00	8.079152e-01	3.532575e-05	8.701523e-05	3.845664e-05	5.961665e-05	8.484151e-04	5.712171e-05
5	1	1.772691e-03	1.698597e-03	2.104879e-03	9.953235e-04	1.000000e+00	3.932562e-05	1.222320e-04	4.609552e-05	7.261164e-05	1.694923e-03	6.855207e-05
5	2	1.312493e-03	1.258758e-03	1.834402e-03	3.315055e-04	9.106272e-01	3.488162e-05	9.807680e-05	4.105377e-05	6.376871e-05	1.256350e-03	6.111430e-05
6	0	9.083301e-04	8.605800e-04	1.637289e-03	0.000000e+00	8.633525e-01	3.321657e-05	8.666934e-05	3.641198e-05	5.654639e-05	8.582000e-04	5.394487e-05
6	1	1.744034e-03	1.666393e-03	2.162674e-03	9.049824e-04	1.000000e+00	3.752209e-05	1.225735e-04	4.371563e-05	6.899676e-05	1.662666e-03	6.476280e-05
6	2	1.318509e-03	1.261959e-03	1.897831e-03	4.471244e-04	9.181094e-01	3.266470e-05	9.808054e-05	3.889954e-05	6.046682e-05	1.259427e-03	5.768510e-05
7	0	1.172923e-03	1.124710e-03	1.667995e-03	0.000000e+00	8.491798e-01	3.311854e-05	8.625369e-05	3.569357e-05	5.544622e-05	1.122373e-03	5.284941e-05
7	1	2.011612e-03	1.933300e-03	2.207089e-03	9.973025e-04	1.000000e+00	3.723745e-05	1.218830e-04	4.258137e-05	6.708631e-05	1.929473e-03	6.286352e-05
7	2	1.571854e-03	1.514576e-03	1.927681e-03	6.154759e-04	9.152237e-01	3.264717e-05	9.808121e-05	3.831437e-05	5.953859e-05	1.512002e-03	5.674400e-05
8	0	9.644424e-04	9.201859e-04	1.565782e-03	0.000000e+00	8.166502e-01	3.091228e-05	8.001369e-05	3.347058e-05	5.188594e-05	9.179988e-04	4.949287e-05
8	1	1.741654e-03	1.669870e-03	2.052041e-03	1.382739e-03	1.000000e+00	3.461205e-05	1.127741e-04	4.003500e-05	6.286411e-05	1.666453e-03	5.898844e-05
8	2	1.331026e-03	1.278357e-03	1.787853e-03	5.906004e-04	9.059544e-01	3.042347e-05	9.083202e-05	3.588719e-05	5.559669e-05	1.276053e-03	5.303012e-05
9	0	8.240007e-04	7.816541e-04	1.499074e-03	0.000000e+00	8.023672e-01	3.009319e-05	7.774804e-05	3.313080e-05	5.132503e-05	7.795863e-04	4.901357e-05
