# 918 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002292	  0.299572	     -1.00	    291.80	    682.35	      2.96	      2.69	     51.79	     47.00	27.81	 3.324e-03	     -1.08	1	Gaussian	302.355579	36.839122
2	1	  0.002790	  0.228847	     -1.00	    693.79	    598.90	      2.99	      2.75	     52.29	     48.12	28.47	 3.285e-03	     -0.82	0	Gaussian	299.978890	37.042431
3	1	  0.001526	  0.093677	     -1.00	    436.49	    316.60	      2.88	      2.64	     50.34	     46.12	18.47	 8.342e-04	      0.24	0	Gaussian	301.291851	38.478887
4	1	  0.001506	  0.079318	     -1.00	    635.20	    593.15	      2.92	      2.73	     51.19	     47.74	25.64	 7.831e-04	      0.36	0	Gaussian	300.312761	37.098742
5	1	  0.001483	  0.045942	     -1.00	    552.84	    448.00	      2.97	      2.74	     52.06	     47.91	23.32	 4.369e-04	      0.93	0	Gaussian	300.693006	37.812302
6	1	  0.001535	  0.044813	     -1.00	    391.47	    676.32	      2.95	      2.69	     51.55	     47.07	29.29	 7.303e-04	      0.99	0	Gaussian	301.774623	36.826006
7	1	  0.001419	  0.045725	     -1.00	    370.87	    190.19	      2.86	      2.66	     49.98	     46.58	14.33	 3.403e-04	      1.01	0	Gaussian	301.603124	39.098463
8	1	  0.001365	  0.043912	     -1.00	     59.58	    204.56	      2.79	      2.56	     48.92	     44.74	15.90	 3.530e-04	      1.12	0	Gaussian	303.480607	39.158932
9	1	  0.001484	  0.041399	     -1.00	    228.59	    195.34	      2.84	      2.62	     49.72	     45.80	9.05	 4.945e-04	      1.14	0	Gaussian	302.458941	39.136418
10	1	  0.001492	  0.039213	     -1.00	     66.19	    589.99	      2.76	      2.76	     48.38	     48.38	-34.56	 4.693e-04	      1.17	0	Gaussian	303.625503	37.353222
11	1	  0.001452	  0.040027	     -1.00	    257.67	     51.23	      2.86	      2.60	     50.14	     45.56	14.47	 4.142e-04	      1.18	0	Gaussian	302.201123	39.798022
12	1	  0.001607	  0.041833	     -1.00	     89.27	    286.35	      2.78	      2.54	     48.70	     44.48	15.97	 9.913e-04	      1.19	0	Gaussian	303.342545	38.764976
13	1	  0.001419	  0.037768	     -1.00	    611.21	    141.34	      2.93	      2.66	     51.23	     46.64	15.13	 4.014e-04	      1.19	0	Gaussian	300.136182	39.206981
14	1	  0.001322	  0.022670	     -1.00	    311.11	    402.42	      4.69	      2.69	     82.06	     47.13	35.39	 3.054e-04	      1.22	0	Gaussian	302.085159	38.134862
15	1	  0.001441	  0.033789	     -1.00	    503.48	    342.34	      2.86	      2.85	     50.05	     49.91	55.34	 3.500e-04	      1.26	0	Gaussian	300.912722	38.327264
16	1	  0.001402	  0.035644	     -1.00	    143.08	    350.93	      2.85	      2.66	     49.92	     46.53	27.91	 2.531e-04	      1.28	0	Gaussian	303.053725	38.442775
17	1	  0.001404	  0.031579	     -1.00	    149.31	    369.32	      2.85	      2.63	     49.96	     45.96	21.58	 3.120e-04	      1.43	0	Gaussian	303.026109	38.354422
18	1	  0.001402	  0.028768	     -1.00	    232.02	    643.80	      2.95	      2.75	     51.58	     48.11	22.66	 2.505e-04	      1.45	0	Gaussian	302.682390	37.042000
19	1	  0.001395	  0.029102	     -1.00	     36.20	    518.91	      2.77	      2.77	     48.50	     48.50	75.89	 3.165e-04	      1.49	0	Gaussian	303.769129	37.695550
20	1	  0.001378	  0.025389	     -1.00	    159.61	    256.25	      2.82	      2.59	     49.36	     45.38	12.98	 2.177e-04	      1.69	0	Gaussian	302.905748	38.879251
21	1	  0.001336	  0.023590	     -1.00	    318.57	    437.24	      2.93	      2.67	     51.25	     46.70	23.27	 2.389e-04	      1.70	0	Gaussian	302.061241	37.969350
22	1	  0.001364	  0.020969	     -1.00	    609.61	    404.88	      3.08	      2.84	     53.89	     49.66	23.62	 1.923e-04	      1.71	0	Gaussian	300.331712	37.984097
23	1	  0.001490	  0.021267	     -1.00	    263.36	    654.94	      3.05	      2.72	     53.33	     47.66	25.93	 5.011e-04	      1.75	0	Gaussian	302.505935	36.977922
24	1	  0.001468	  0.021440	     -1.00	    675.31	    204.32	      2.91	      2.65	     50.88	     46.31	17.03	 3.758e-04	      1.82	0	Gaussian	299.801757	38.880033
25	1	  0.001344	  0.018440	     -1.00	    630.94	    464.17	      3.17	      2.77	     55.50	     48.49	9.78	 2.252e-04	      1.84	0	Gaussian	300.248376	37.698302
26	1	  0.001403	  0.020360	     -1.00	    572.93	    247.24	      2.93	      2.68	     51.26	     46.92	23.71	 2.526e-04	      1.85	0	Gaussian	300.438207	38.734802
27	1	  0.001358	  0.018974	     -1.00	     15.84	    325.33	      2.85	      2.60	     49.86	     45.45	17.31	 2.028e-04	      2.00	0	Gaussian	303.800851	38.608444
28	1	  0.001339	  0.018293	     -1.00	    169.02	    268.74	      2.81	      2.67	     49.13	     46.67	-14.92	 1.644e-04	      2.02	0	Gaussian	302.856022	38.817157
29	1	  0.001337	  0.017491	     -1.00	    177.21	    357.16	      2.89	      2.66	     50.59	     46.60	19.30	 1.621e-04	      2.04	0	Gaussian	302.853850	38.400558
30	1	  0.001454	  0.016072	     -1.00	    629.10	     69.93	      2.96	      2.73	     51.74	     47.78	21.77	 2.229e-04	      2.08	0	Gaussian	299.977567	39.529195
31	1	  0.001356	  0.015007	     -1.00	    511.33	    588.20	      2.98	      2.69	     52.19	     47.03	24.77	 2.032e-04	      2.17	0	Gaussian	301.026223	37.181508
32	1	  0.001555	  0.014909	     -1.00	     42.95	    583.93	      2.89	      2.69	     50.51	     47.09	49.66	 6.364e-04	      2.20	0	Gaussian	303.759179	37.389395
33	1	  0.001352	  0.014419	     -1.00	    332.96	    294.13	      2.95	      2.70	     51.63	     47.29	16.45	 2.251e-04	      2.22	0	Gaussian	301.892250	38.630527
34	1	  0.001314	  0.014209	     -1.00	    504.96	    667.64	      2.93	      2.75	     51.32	     48.16	35.92	 1.586e-04	      2.22	0	Gaussian	301.113481	36.816031
35	1	  0.001313	  0.013589	     -1.00	    367.82	    486.45	      3.09	      2.70	     54.05	     47.32	23.80	 1.494e-04	      2.23	0	Gaussian	301.800489	37.719013
36	1	  0.001329	  0.012321	     -1.00	    471.48	    344.68	      3.34	      2.72	     58.51	     47.66	16.11	 1.182e-04	      2.24	0	Gaussian	301.102965	38.331722
37	1	  0.001330	  0.014284	     -1.00	    384.33	    298.13	      2.94	      2.66	     51.40	     46.53	18.98	 1.450e-04	      2.25	0	Gaussian	301.589442	38.588940
38	1	  0.001661	  0.014094	     -1.00	    157.31	    298.49	      3.00	      2.60	     52.56	     45.54	5.44	 1.141e-03	      2.26	0	Gaussian	302.941710	38.682590
39	1	  0.001502	  0.011130	     -1.00	    229.14	    554.89	      3.36	      2.86	     58.89	     50.02	39.02	 8.298e-04	      2.28	0	Gaussian	302.652085	37.457340
40	1	  0.001429	  0.014830	     -1.00	    122.34	    363.60	      2.80	      2.58	     49.05	     45.08	15.83	 2.916e-04	      2.30	0	Gaussian	303.183701	38.391294
41	1	  0.001324	  0.012501	     -1.00	     89.67	    347.46	      3.02	      2.76	     52.82	     48.29	-0.61	 1.680e-04	      2.32	0	Gaussian	303.370335	38.478823
42	1	  0.001336	  0.012776	     -1.00	    648.56	    589.35	      2.92	      2.74	     51.15	     47.95	20.77	 1.451e-04	      2.34	0	Gaussian	300.233004	37.109616
43	1	  0.001387	  0.009527	     -1.00	    524.91	    390.62	      3.28	      3.07	     57.49	     53.65	83.03	 4.194e-04	      2.41	0	Gaussian	300.818492	38.092429
44	1	  0.001360	  0.009050	     -1.00	    517.97	    357.82	      3.26	      3.20	     57.12	     56.00	-37.85	 2.600e-04	      2.42	0	Gaussian	300.837546	38.248283
45	1	  0.001326	  0.011844	     -1.00	    328.86	    332.86	      2.84	      2.75	     49.69	     48.08	13.42	 1.270e-04	      2.45	0	Gaussian	301.939514	38.451625
46	1	  0.001364	  0.012075	     -1.00	    286.45	     58.70	      2.87	      2.62	     50.17	     45.93	14.65	 1.150e-04	      2.48	0	Gaussian	302.031276	39.750492
47	1	  0.001314	  0.010868	     -1.00	    565.12	    263.15	      3.00	      2.73	     52.47	     47.73	18.83	 1.482e-04	      2.49	0	Gaussian	300.495423	38.664844
48	1	  0.001332	  0.010631	     -1.00	    208.26	    681.90	      2.94	      2.72	     51.38	     47.54	86.46	 1.456e-04	      2.53	0	Gaussian	302.840591	36.873591
49	1	  0.001319	  0.010916	     -1.00	     98.37	    515.99	      2.88	      2.69	     50.43	     47.16	23.15	 1.127e-04	      2.54	0	Gaussian	303.400977	37.687651
50	1	  0.001332	  0.010171	     -1.00	    312.05	    595.21	      2.99	      2.72	     52.40	     47.68	24.01	 1.294e-04	      2.57	0	Gaussian	302.189420	37.236344
51	1	  0.001408	  0.010108	     -1.00	    368.08	    656.11	      2.97	      2.67	     51.91	     46.75	29.63	 3.100e-04	      2.60	0	Gaussian	301.898372	36.929818
52	1	  0.001334	  0.010227	     -1.00	    578.81	     73.29	      2.93	      2.69	     51.24	     47.05	15.29	 1.275e-04	      2.60	0	Gaussian	300.280834	39.540565
53	1	  0.001516	  0.010561	     -1.00	    358.40	    503.41	      2.90	      2.64	     50.70	     46.16	21.83	 6.107e-04	      2.60	0	Gaussian	301.865694	37.644115
54	1	  0.001417	  0.011093	     -1.00	    404.23	    132.42	      2.85	      2.56	     49.97	     44.86	10.86	 2.186e-04	      2.60	0	Gaussian	301.367060	39.352449
55	1	  0.001317	  0.008394	     -1.00	    122.67	    398.48	      3.27	      2.78	     57.29	     48.58	41.80	 1.259e-04	      2.65	0	Gaussian	303.199246	38.228080
56	1	  0.001282	  0.003378	     -1.00	     61.53	    449.14	      7.74	      2.89	    135.52	     50.50	21.36	 1.886e-04	      2.68	0	Gaussian	303.586748	38.013121
57	1	  0.001387	  0.009810	     -1.00	    432.05	    131.47	      2.93	      2.60	     51.24	     45.57	7.34	 2.185e-04	      2.68	0	Gaussian	301.199636	39.343631
58	1	  0.001385	  0.006570	     -1.00	     79.07	    633.75	      3.98	      2.84	     69.64	     49.62	68.89	 4.121e-04	      2.69	0	Gaussian	303.570464	37.144488
59	1	  0.001364	  0.009365	     -1.00	    495.17	    187.99	      2.81	      2.79	     49.25	     48.85	-82.72	 1.706e-04	      2.70	0	Gaussian	300.859654	39.049545
60	1	  0.001346	  0.009126	     -1.00	     40.20	    610.56	      2.94	      2.69	     51.54	     47.13	26.83	 1.176e-04	      2.73	0	Gaussian	303.787487	37.265919
61	1	  0.001338	  0.009110	     -1.00	    179.36	    539.23	      2.88	      2.73	     50.35	     47.86	19.52	 1.216e-04	      2.74	0	Gaussian	302.935958	37.549458
62	1	  0.001320	  0.009835	     -1.00	    108.89	     32.37	      2.82	      2.55	     49.34	     44.60	4.49	 1.007e-04	      2.74	0	Gaussian	303.094708	39.947433
63	1	  0.001434	  0.009110	     -1.00	    524.19	    214.75	      2.90	      2.66	     50.73	     46.56	18.30	 2.295e-04	      2.75	0	Gaussian	300.704952	38.910562
64	1	  0.001298	  0.008184	     -1.00	    531.43	    536.93	      3.06	      2.78	     53.48	     48.60	29.97	 9.943e-05	      2.75	0	Gaussian	300.876433	37.409908
65	1	  0.001312	  0.007800	     -1.00	    186.21	    393.04	      3.19	      2.76	     55.92	     48.27	2.07	 1.034e-04	      2.76	0	Gaussian	302.819318	38.229414
66	1	  0.001370	  0.008752	     -1.00	    637.92	    230.82	      2.85	      2.78	     49.83	     48.61	28.71	 1.846e-04	      2.76	0	Gaussian	300.042147	38.777168
67	1	  0.001406	  0.009011	     -1.00	    602.56	    247.24	      2.92	      2.66	     51.10	     46.51	17.41	 2.544e-04	      2.76	0	Gaussian	300.262916	38.719536
68	1	  0.001337	  0.009108	     -1.00	     34.63	    424.44	      2.85	      2.66	     49.85	     46.58	25.47	 2.277e-04	      2.77	0	Gaussian	303.734792	38.137955
69	1	  0.001313	  0.009021	     -1.00	    106.50	    345.68	      2.86	      2.60	     50.09	     45.59	19.14	 1.257e-04	      2.80	0	Gaussian	303.269061	38.480989
70	1	  0.001299	  0.008956	     -1.00	    111.54	     78.13	      2.83	      2.64	     49.59	     46.21	27.03	 8.549e-05	      2.81	0	Gaussian	303.102430	39.731958
71	1	  0.001314	  0.007650	     -1.00	    462.21	    397.94	      3.00	      2.86	     52.55	     50.01	78.70	 1.311e-04	      2.81	0	Gaussian	301.191750	38.088323
72	1	  0.001339	  0.008041	     -1.00	    423.49	    693.71	      3.01	      2.71	     52.69	     47.35	24.85	 1.698e-04	      2.82	0	Gaussian	301.599814	36.731476
73	1	  0.001346	  0.007169	     -1.00	    504.80	    527.49	      3.23	      2.76	     56.53	     48.34	21.67	 1.717e-04	      2.85	0	Gaussian	301.025301	37.466307
74	1	  0.001312	  0.008627	     -1.00	    163.80	     74.30	      2.82	      2.64	     49.29	     46.15	6.72	 1.038e-04	      2.86	0	Gaussian	302.783211	39.729267
75	1	  0.001354	  0.008190	     -1.00	     98.10	    599.17	      2.91	      2.65	     50.94	     46.35	23.85	 1.483e-04	      2.86	0	Gaussian	303.442595	37.299316
76	1	  0.001304	  0.006189	     -1.00	    632.77	    483.44	      3.50	      2.71	     61.18	     47.47	10.69	 9.449e-05	      2.94	0	Gaussian	300.251118	37.608063
77	1	  0.001362	  0.006653	     -1.00	    623.04	    661.09	      3.05	      2.90	     53.44	     50.79	29.92	 1.035e-04	      2.94	0	Gaussian	300.429032	36.790376
78	1	  0.001316	  0.007640	     -1.00	    355.22	    246.30	      2.92	      2.65	     51.17	     46.45	17.66	 1.049e-04	      2.95	0	Gaussian	301.730993	38.843788
79	1	  0.001343	  0.007008	     -1.00	    343.33	    641.85	      2.97	      2.73	     51.96	     47.73	35.21	 9.551e-05	      2.97	0	Gaussian	302.033831	37.006462
80	1	  0.001316	  0.006839	     -1.00	    500.24	    476.34	      3.03	      2.72	     53.02	     47.53	20.56	 1.035e-04	      3.00	0	Gaussian	301.018998	37.706001
81	1	  0.001283	  0.007251	     -1.00	     91.18	    133.05	      2.87	      2.69	     50.27	     47.14	-3.66	 9.008e-05	      3.01	0	Gaussian	303.254085	39.482346
82	1	  0.001265	  0.007001	     -1.00	    302.66	    258.74	      2.94	      2.73	     51.39	     47.73	11.29	 6.921e-05	      3.01	0	Gaussian	302.051837	38.808839
83	1	  0.001324	  0.006866	     -1.00	    544.14	     85.32	      2.96	      2.71	     51.85	     47.49	8.87	 9.352e-05	      3.01	0	Gaussian	300.496944	39.502738
84	1	  0.001327	  0.006470	     -1.00	    516.12	     94.68	      3.07	      2.75	     53.79	     48.20	1.89	 9.931e-05	      3.02	0	Gaussian	300.671255	39.473504
85	1	  0.001322	  0.006937	     -1.00	    301.26	    444.65	      2.95	      2.67	     51.56	     46.69	19.46	 2.486e-04	      3.03	0	Gaussian	302.167490	37.942133
86	1	  0.001312	  0.003150	     -1.00	    544.49	    202.49	      5.32	      3.13	     93.19	     54.72	-44.09	 1.554e-04	      3.06	0	Gaussian	300.575983	38.957386
87	1	  0.001321	  0.006138	     -1.00	    426.07	    216.20	      3.09	      2.77	     54.08	     48.54	22.53	 8.561e-05	      3.06	0	Gaussian	301.289847	38.951525
88	1	  0.001291	  0.006210	     -1.00	    543.27	    626.60	      3.06	      2.80	     53.64	     48.98	23.94	 8.147e-05	      3.06	0	Gaussian	300.866071	36.988468
89	1	  0.001407	  0.006844	     -1.00	     73.70	    400.44	      2.91	      2.67	     51.01	     46.70	3.78	 4.683e-04	      3.06	0	Gaussian	303.491184	38.236625
90	1	  0.001382	  0.006079	     -1.00	    113.84	    228.61	      3.08	      2.77	     53.94	     48.52	68.44	 4.858e-04	      3.07	0	Gaussian	303.166052	39.026176
91	1	  0.001447	  0.006559	     -1.00	    437.17	    476.53	      2.91	      2.66	     51.00	     46.47	16.88	 4.530e-04	      3.12	0	Gaussian	301.388061	37.734331
92	1	  0.001286	  0.006295	     -1.00	    100.75	    239.27	      3.06	      2.63	     53.55	     46.02	20.38	 9.028e-05	      3.12	0	Gaussian	303.250093	38.981175
93	1	  0.001294	  0.006060	     -1.00	    406.52	    570.57	      3.00	      2.76	     52.54	     48.28	22.26	 9.215e-05	      3.12	0	Gaussian	301.624478	37.310823
94	1	  0.001280	  0.006030	     -1.00	     80.65	    676.69	      3.01	      2.74	     52.66	     47.99	18.83	 7.378e-05	      3.13	0	Gaussian	303.581337	36.943614
95	1	  0.001367	  0.005786	     -1.00	    236.04	     99.85	      3.03	      2.81	     52.98	     49.14	-12.22	 2.368e-04	      3.13	0	Gaussian	302.360050	39.579844
96	1	  0.001308	  0.006434	     -1.00	    212.76	    207.28	      2.89	      2.67	     50.64	     46.74	8.53	 1.158e-04	      3.14	0	Gaussian	302.560622	39.087096
97	1	  0.001300	  0.006205	     -1.00	    538.24	    119.68	      2.94	      2.72	     51.53	     47.62	12.85	 7.301e-05	      3.14	0	Gaussian	300.556150	39.345842
98	1	  0.001282	  0.004675	     -1.00	    560.68	    645.55	      3.45	      3.02	     60.30	     52.89	-9.35	 9.606e-05	      3.14	0	Gaussian	300.777838	36.892406
99	1	  0.001535	  0.006572	     -1.00	    389.17	    575.24	      2.82	      2.62	     49.30	     45.88	21.70	 5.831e-04	      3.16	0	Gaussian	301.728377	37.296667
100	1	  0.001360	  0.006139	     -1.00	    203.16	    519.04	      2.92	      2.70	     51.12	     47.25	8.32	 1.222e-04	      3.16	0	Gaussian	302.785577	37.634611
101	1	  0.001276	  0.006096	     -1.00	     19.75	    517.65	      2.90	      2.72	     50.82	     47.53	20.52	 6.450e-05	      3.17	0	Gaussian	303.865673	37.706939
102	1	  0.001351	  0.006271	     -1.00	    408.66	    111.45	      2.90	      2.61	     50.68	     45.73	8.20	 7.274e-05	      3.19	0	Gaussian	301.327056	39.448156
103	1	  0.001357	  0.004831	     -1.00	    181.33	    431.43	      3.28	      2.97	     57.36	     52.01	86.29	 1.450e-04	      3.19	0	Gaussian	302.868390	38.051954
104	1	  0.001283	  0.005687	     -1.00	     58.69	    541.93	      2.93	      2.85	     51.20	     49.92	-46.52	 7.072e-05	      3.19	0	Gaussian	303.647147	37.580284
105	1	  0.001385	  0.006018	     -1.00	    513.34	    163.32	      2.94	      2.61	     51.53	     45.66	13.06	 1.407e-04	      3.21	0	Gaussian	300.734688	39.155377
106	1	  0.001329	  0.004798	     -1.00	    576.66	    535.66	      3.25	      2.92	     56.87	     51.13	26.19	 1.605e-04	      3.21	0	Gaussian	300.612790	37.393999
107	1	  0.001344	  0.005200	     -1.00	    345.70	    325.89	      3.08	      2.74	     53.91	     48.04	43.06	 1.432e-04	      3.24	0	Gaussian	301.835458	38.476792
108	1	  0.001323	  0.005426	     -1.00	    390.76	    631.67	      2.98	      2.79	     52.18	     48.92	24.83	 2.459e-04	      3.25	0	Gaussian	301.752494	37.033687
109	1	  0.001311	  0.005233	     -1.00	    669.07	    505.04	      3.02	      2.75	     52.89	     48.06	22.33	 8.814e-05	      3.26	0	Gaussian	300.055431	37.489390
110	1	  0.001300	  0.005024	     -1.00	     34.40	    256.69	      2.94	      2.94	     51.43	     51.43	54.27	 6.968e-05	      3.26	0	Gaussian	303.657308	38.923620
111	1	  0.001296	  0.005012	     -1.00	    529.46	    553.27	      3.15	      2.81	     55.09	     49.11	17.10	 7.534e-05	      3.26	0	Gaussian	300.898480	37.335013
112	1	  0.001304	  0.005013	     -1.00	    594.69	     93.62	      3.07	      2.76	     53.80	     48.38	9.95	 6.264e-05	      3.29	0	Gaussian	300.200401	39.437585
113	1	  0.001258	  0.004681	     -1.00	     88.76	    219.75	      3.33	      2.70	     58.34	     47.21	8.48	 5.211e-05	      3.30	0	Gaussian	303.312408	39.077055
114	1	  0.001314	  0.004899	     -1.00	    598.24	     23.00	      3.04	      2.83	     53.23	     49.54	68.70	 8.334e-05	      3.31	0	Gaussian	300.128200	39.764098
115	1	  0.001288	  0.004317	     -1.00	    564.00	    679.92	      3.21	      3.01	     56.16	     52.72	15.15	 7.176e-05	      3.32	0	Gaussian	300.781170	36.731662
116	1	  0.001274	  0.001840	     -1.00	     58.09	    153.22	      6.77	      3.26	    118.54	     57.06	55.37	 1.194e-04	      3.32	0	Gaussian	303.464387	39.400088
117	1	  0.001342	  0.004981	     -1.00	    314.44	    538.28	      3.01	      2.71	     52.65	     47.41	24.21	 2.112e-04	      3.35	0	Gaussian	302.143316	37.500382
118	1	  0.001356	  0.004139	     -1.00	    145.99	    445.13	      3.47	      2.77	     60.82	     48.56	5.13	 1.861e-04	      3.36	0	Gaussian	303.084584	38.001377
119	1	  0.001310	  0.004828	     -1.00	    306.80	    483.24	      3.00	      2.79	     52.59	     48.83	10.23	 8.618e-05	      3.37	0	Gaussian	302.156816	37.759939
120	1	  0.001323	  0.004795	     -1.00	     74.37	    535.25	      3.00	      2.79	     52.46	     48.81	20.19	 8.293e-05	      3.37	0	Gaussian	303.551656	37.606092
121	1	  0.001283	  0.004304	     -1.00	    178.29	    658.97	      3.18	      2.87	     55.61	     50.32	21.44	 6.266e-05	      3.38	0	Gaussian	303.003300	36.991600
122	1	  0.001310	  0.004643	     -1.00	    205.56	    502.78	      3.04	      2.80	     53.19	     49.03	8.74	 8.757e-05	      3.39	0	Gaussian	302.762912	37.709515
123	1	  0.001290	  0.004033	     -1.00	    690.82	    281.71	      3.30	      2.91	     57.72	     50.93	-0.34	 8.634e-05	      3.39	0	Gaussian	299.767359	38.512640
124	1	  0.001296	  0.004356	     -1.00	    436.39	    668.10	      3.12	      2.85	     54.63	     49.94	24.17	 1.290e-04	      3.40	0	Gaussian	301.509862	36.844693
125	1	  0.001407	  0.005099	     -1.00	     95.64	    319.62	      2.83	      2.66	     49.48	     46.52	4.48	 2.852e-04	      3.42	0	Gaussian	303.320896	38.606926
126	1	  0.001410	  0.004557	     -1.00	    531.61	    314.50	      3.06	      2.75	     53.54	     48.10	26.62	 1.917e-04	      3.42	0	Gaussian	300.728313	38.442964
127	1	  0.001391	  0.003208	     -1.00	    329.39	    473.45	      3.70	      3.13	     64.71	     54.72	-53.02	 3.171e-04	      3.42	0	Gaussian	302.018507	37.796056
128	1	  0.001332	  0.003571	     -1.00	    201.63	    412.60	      3.99	      2.65	     69.85	     46.31	6.33	 1.335e-04	      3.43	0	Gaussian	302.738280	38.132029
129	1	  0.001292	  0.004264	     -1.00	    309.95	     89.95	      3.09	      2.83	     54.13	     49.48	13.35	 4.826e-05	      3.44	0	Gaussian	301.907991	39.594016
130	1	  0.001378	  0.004456	     -1.00	    457.69	    525.71	      3.03	      2.80	     53.06	     49.07	21.30	 8.537e-05	      3.44	0	Gaussian	301.298749	37.496382
131	1	  0.001313	  0.004250	     -1.00	    346.86	    119.64	      3.18	      2.72	     55.62	     47.54	3.58	 5.851e-05	      3.44	0	Gaussian	301.703666	39.438705
132	1	  0.001310	  0.004222	     -1.00	    364.28	    667.45	      3.12	      2.84	     54.69	     49.79	18.58	 1.307e-04	      3.45	0	Gaussian	301.926955	36.878732
133	1	  0.001351	  0.004169	     -1.00	    542.15	    324.15	      3.15	      2.78	     55.20	     48.73	14.71	 1.873e-04	      3.45	0	Gaussian	300.672622	38.392858
134	1	  0.001337	  0.004320	     -1.00	    361.94	    572.79	      2.93	      2.87	     51.36	     50.21	50.26	 1.286e-04	      3.46	0	Gaussian	301.885629	37.319780
135	1	  0.001346	  0.004440	     -1.00	    165.11	    519.17	      2.96	      2.78	     51.85	     48.67	21.04	 1.553e-04	      3.48	0	Gaussian	303.009444	37.648455
136	1	  0.001307	  0.003909	     -1.00	    676.70	    488.57	      3.17	      2.95	     55.54	     51.71	20.47	 8.209e-05	      3.48	0	Gaussian	299.999534	37.561718
137	1	  0.001270	  0.004295	     -1.00	     53.79	    348.95	      2.92	      2.87	     51.14	     50.31	-1.69	 6.098e-05	      3.49	0	Gaussian	303.585142	38.484653
138	1	  0.001277	  0.003774	     -1.00	    142.92	    432.19	      3.14	      3.00	     54.94	     52.55	-23.55	 4.964e-05	      3.49	0	Gaussian	303.096199	38.062947
139	1	  0.001312	  0.004033	     -1.00	    217.05	    577.68	      3.15	      2.80	     55.11	     48.95	29.73	 9.796e-05	      3.49	0	Gaussian	302.734961	37.355826
140	1	  0.001591	  0.004959	     -1.00	    389.32	    582.74	      2.82	      2.52	     49.31	     44.09	30.12	 7.410e-04	      3.49	0	Gaussian	301.731908	37.261711
141	1	  0.001366	  0.003981	     -1.00	    438.80	    569.15	      3.14	      2.75	     54.88	     48.10	27.99	 1.849e-04	      3.50	0	Gaussian	301.435706	37.303110
142	1	  0.001313	  0.004156	     -1.00	    536.91	    134.07	      2.94	      2.86	     51.48	     50.05	2.68	 7.861e-05	      3.50	0	Gaussian	300.574034	39.279560
143	1	  0.001308	  0.002232	     -1.00	    283.99	     19.26	      5.78	      2.68	    101.16	     46.98	-2.58	 1.210e-04	      3.51	0	Gaussian	302.022693	39.935984
144	1	  0.001388	  0.004047	     -1.00	    324.84	    542.75	      3.03	      2.88	     52.95	     50.46	37.60	 2.991e-04	      3.52	0	Gaussian	302.084988	37.475202
145	1	  0.001298	  0.004169	     -1.00	     30.13	    442.92	      2.92	      2.87	     51.12	     50.18	59.59	 5.448e-05	      3.52	0	Gaussian	303.770023	38.053028
146	1	  0.001258	  0.003748	     -1.00	    504.89	    628.74	      3.08	      3.00	     53.89	     52.51	40.13	 1.103e-04	      3.52	0	Gaussian	301.089360	36.996430
147	1	  0.001313	  0.003828	     -1.00	     23.06	    621.57	      3.18	      2.80	     55.68	     49.02	28.01	 6.630e-05	      3.53	0	Gaussian	303.892987	37.220158
148	1	  0.001330	  0.003892	     -1.00	     78.23	    502.35	      3.20	      2.72	     56.06	     47.69	22.19	 1.096e-04	      3.53	0	Gaussian	303.513247	37.758508
149	1	  0.001328	  0.003551	     -1.00	    666.78	    583.13	      3.20	      2.91	     55.92	     51.00	24.95	 1.022e-04	      3.55	0	Gaussian	300.123554	37.129195
150	1	  0.001362	  0.004022	     -1.00	    608.85	    128.77	      2.99	      2.83	     52.39	     49.50	26.62	 1.596e-04	      3.55	0	Gaussian	300.141188	39.266696
151	1	  0.001268	  0.003881	     -1.00	    365.56	    406.13	      3.13	      2.79	     54.73	     48.82	21.45	 4.403e-05	      3.55	0	Gaussian	301.766001	38.094038
152	1	  0.001290	  0.003697	     -1.00	     71.06	    487.06	      3.37	      2.71	     58.97	     47.47	8.17	 1.063e-04	      3.57	0	Gaussian	303.548318	37.832480
153	1	  0.001280	  0.003745	     -1.00	     73.50	    468.54	      3.08	      2.90	     53.99	     50.69	18.27	 9.962e-05	      3.57	0	Gaussian	303.525073	37.918175
154	1	  0.001418	  0.004242	     -1.00	     88.58	    640.07	      2.88	      2.74	     50.35	     47.93	61.26	 6.684e-04	      3.57	0	Gaussian	303.517794	37.111749
155	1	  0.001362	  0.003160	     -1.00	    682.60	    404.59	      3.50	      2.97	     61.27	     51.92	17.68	 1.502e-04	      3.58	0	Gaussian	299.905049	37.947562
156	1	  0.001305	  0.003987	     -1.00	    259.14	    423.28	      3.05	      2.73	     53.41	     47.77	14.74	 1.015e-04	      3.58	0	Gaussian	302.403942	38.059191
157	1	  0.001323	  0.003275	     -1.00	    158.74	    441.62	      3.23	      3.12	     56.48	     54.65	-1.84	 1.266e-04	      3.58	0	Gaussian	303.007369	38.012947
158	1	  0.001306	  0.003454	     -1.00	    587.16	    381.86	      3.23	      2.90	     56.61	     50.79	17.23	 8.927e-05	      3.59	0	Gaussian	300.447271	38.102303
