# 891 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002733	  0.298873	     -1.00	    254.89	    426.93	      2.99	      2.73	     52.36	     47.83	30.00	 2.983e-03	     -1.11	0	Gaussian	302.355331	36.838665
2	1	  0.002625	  0.312734	     -1.00	     37.32	    451.46	      2.87	      2.65	     50.24	     46.40	28.42	 3.254e-03	     -1.08	0	Gaussian	303.632388	36.805651
3	1	  0.002497	  0.235790	     -1.00	    656.79	    343.04	      3.00	      2.76	     52.47	     48.30	26.73	 2.497e-03	     -0.86	0	Gaussian	299.978982	37.041930
4	1	  0.002304	  0.174351	     -1.00	    405.82	    600.99	      2.89	      2.89	     50.58	     50.58	86.85	 1.832e-03	     -0.54	0	Gaussian	301.587189	35.968021
5	1	  0.002017	  0.093919	     -1.00	    399.16	     61.03	      2.87	      2.71	     50.21	     47.48	23.45	 7.956e-04	      0.20	0	Gaussian	301.291755	38.478559
6	1	  0.003030	  0.067369	     -1.00	    426.84	    637.47	      3.87	      2.78	     67.79	     48.74	52.62	 3.017e-03	      0.21	0	Gaussian	301.489279	35.790179
7	1	  0.002028	  0.082103	     -1.00	    685.52	    109.95	      2.87	      2.87	     50.29	     50.19	-85.56	 8.668e-04	      0.29	0	Gaussian	299.642263	38.105047
8	1	  0.002044	  0.082256	     -1.00	    598.19	    337.35	      2.90	      2.70	     50.74	     47.23	22.20	 8.488e-04	      0.34	0	Gaussian	300.312801	37.098290
9	1	  0.002218	  0.075101	     -1.00	     60.27	    493.12	      2.94	      2.69	     51.53	     47.16	29.13	 9.624e-04	      0.43	0	Gaussian	303.518643	36.603588
10	1	  0.002019	  0.059884	     -1.00	    528.77	    576.92	      3.06	      3.01	     53.53	     52.73	58.66	 7.737e-04	      0.51	0	Gaussian	300.871052	36.024100
11	1	  0.002309	  0.055949	     -1.00	    633.17	    443.75	      3.12	      2.81	     54.69	     49.27	41.34	 1.149e-03	      0.63	0	Gaussian	300.185576	36.588631
12	1	  0.002113	  0.061742	     -1.00	     32.99	    463.55	      2.87	      2.66	     50.15	     46.55	23.65	 9.046e-04	      0.68	0	Gaussian	303.663259	36.750762
13	1	  0.002015	  0.048319	     -1.00	    515.66	    192.30	      2.92	      2.69	     51.16	     47.11	20.61	 5.319e-04	      0.91	0	Gaussian	300.692987	37.811902
14	1	  0.002049	  0.044835	     -1.00	    354.55	    420.78	      2.96	      2.75	     51.84	     48.06	28.34	 6.935e-04	      0.96	0	Gaussian	301.774496	36.825599
15	1	  0.001984	  0.039978	     -1.00	    661.75	    478.61	      2.96	      2.78	     51.74	     48.73	23.59	 4.258e-04	      1.07	0	Gaussian	300.046549	36.413205
16	1	  0.001982	  0.039386	     -1.00	    394.60	    546.60	      2.94	      2.75	     51.45	     48.13	29.82	 4.030e-04	      1.11	0	Gaussian	301.618813	36.224708
17	1	  0.002014	  0.039862	     -1.00	     29.17	    334.81	      2.86	      2.69	     50.05	     47.14	29.53	 4.372e-04	      1.15	0	Gaussian	303.625084	37.352773
18	1	  0.002140	  0.042486	     -1.00	     51.89	     31.16	      2.79	      2.55	     48.76	     44.69	14.32	 1.007e-03	      1.16	0	Gaussian	303.342280	38.764673
19	1	  0.001848	  0.023457	     -1.00	    273.85	    146.95	      4.62	      2.68	     80.79	     46.86	35.04	 3.110e-04	      1.21	0	Gaussian	302.085120	38.134626
20	1	  0.001934	  0.025104	     -1.00	    296.66	    572.38	      4.03	      2.85	     70.56	     49.94	-5.39	 7.627e-04	      1.21	0	Gaussian	302.195465	36.146306
21	1	  0.001965	  0.033184	     -1.00	    366.20	    658.87	      3.08	      2.82	     53.95	     49.40	38.83	 3.713e-04	      1.21	0	Gaussian	301.847211	35.717056
22	1	  0.001942	  0.035691	     -1.00	     87.97	    550.43	      2.98	      2.71	     52.14	     47.45	28.59	 3.847e-04	      1.21	0	Gaussian	303.385731	36.327124
23	1	  0.001951	  0.034220	     -1.00	    466.18	     86.66	      2.91	      2.86	     50.85	     50.07	73.49	 3.222e-04	      1.23	0	Gaussian	300.912668	38.327063
24	1	  0.001924	  0.037007	     -1.00	    105.78	     95.66	      2.86	      2.62	     50.02	     45.88	17.05	 2.800e-04	      1.26	0	Gaussian	303.053468	38.442520
25	1	  0.002104	  0.031885	     -1.00	    430.72	    662.92	      3.03	      2.80	     53.03	     48.98	38.68	 4.126e-04	      1.28	0	Gaussian	301.482568	35.670844
26	1	  0.001903	  0.029609	     -1.00	    293.75	    459.59	      3.06	      2.77	     53.62	     48.40	26.18	 3.215e-04	      1.36	0	Gaussian	302.148638	36.670998
27	1	  0.001934	  0.028684	     -1.00	    345.74	    477.47	      3.05	      2.78	     53.43	     48.66	43.41	 3.337e-04	      1.40	0	Gaussian	301.858800	36.566214
28	1	  0.001914	  0.031378	     -1.00	    112.04	    114.04	      2.90	      2.67	     50.75	     46.66	21.68	 2.803e-04	      1.40	0	Gaussian	303.025829	38.354134
29	1	  0.001932	  0.030433	     -1.00	    195.08	    388.45	      2.91	      2.67	     50.88	     46.80	19.95	 3.049e-04	      1.43	0	Gaussian	302.682007	37.041493
30	1	  0.002047	  0.019597	     -1.00	    444.12	    675.46	      3.09	      3.09	     54.13	     54.11	3.54	 7.920e-04	      1.69	0	Gaussian	301.414068	35.607084
31	1	  0.001890	  0.021737	     -1.00	    572.39	    149.11	      3.09	      2.77	     54.12	     48.51	14.57	 2.214e-04	      1.69	0	Gaussian	300.331721	37.983695
32	1	  0.001865	  0.023983	     -1.00	    281.38	    181.78	      2.92	      2.64	     51.15	     46.27	27.53	 2.314e-04	      1.69	0	Gaussian	302.061036	37.969052
33	1	  0.002013	  0.022947	     -1.00	    311.63	    458.21	      2.92	      2.72	     51.05	     47.68	28.36	 3.294e-04	      1.71	0	Gaussian	302.044508	36.670008
34	1	  0.002019	  0.016381	     -1.00	    233.65	    571.21	      3.50	      3.19	     61.28	     55.79	-67.37	 8.138e-04	      1.71	0	Gaussian	302.556676	36.176741
35	1	  0.002016	  0.022163	     -1.00	    226.42	    399.55	      3.01	      2.70	     52.65	     47.26	20.31	 5.192e-04	      1.73	0	Gaussian	302.505615	36.977456
36	1	  0.001960	  0.020652	     -1.00	    207.10	    621.84	      2.91	      2.91	     50.91	     50.91	-86.13	 3.484e-04	      1.76	0	Gaussian	302.735912	35.951922
37	1	  0.001867	  0.019205	     -1.00	    593.77	    208.36	      3.16	      2.73	     55.26	     47.70	9.48	 2.413e-04	      1.82	0	Gaussian	300.248456	37.697974
38	1	  0.001962	  0.020511	     -1.00	     40.13	    482.54	      2.99	      2.68	     52.33	     46.92	35.73	 3.416e-04	      1.82	0	Gaussian	303.630605	36.659792
39	1	  0.002032	  0.019581	     -1.00	    275.40	    663.50	      2.99	      2.75	     52.28	     48.11	37.01	 3.808e-04	      1.85	0	Gaussian	302.367497	35.732390
40	1	  0.001953	  0.016811	     -1.00	    161.69	    572.94	      3.01	      3.01	     52.76	     52.70	40.53	 2.852e-04	      1.90	0	Gaussian	302.971646	36.195944
41	1	  0.001904	  0.018248	     -1.00	    416.49	    524.01	      2.91	      2.80	     50.85	     48.94	34.89	 2.321e-04	      1.93	0	Gaussian	301.479719	36.319792
42	1	  0.001797	  0.016772	     -1.00	    601.03	    652.76	      3.00	      2.85	     52.49	     49.93	20.97	 1.702e-04	      1.97	0	Gaussian	300.510628	35.640022
43	1	  0.001861	  0.019304	     -1.00	    131.63	     13.46	      2.81	      2.58	     49.10	     45.24	14.96	 1.670e-04	      2.00	0	Gaussian	302.855785	38.816858
44	1	  0.001858	  0.017959	     -1.00	    139.93	    101.84	      2.78	      2.74	     48.73	     47.91	22.85	 1.586e-04	      2.02	0	Gaussian	302.853582	38.400328
45	1	  0.001932	  0.016817	     -1.00	    370.17	    512.05	      3.00	      2.73	     52.43	     47.77	19.55	 2.777e-04	      2.02	0	Gaussian	301.738493	36.395372
46	1	  0.001879	  0.014939	     -1.00	    510.26	    492.07	      3.10	      2.90	     54.30	     50.76	51.65	 2.560e-04	      2.04	0	Gaussian	300.922027	36.425046
47	1	  0.001884	  0.016523	     -1.00	     54.06	    582.50	      2.91	      2.73	     51.01	     47.76	29.37	 1.885e-04	      2.07	0	Gaussian	303.596744	36.189556
48	1	  0.001911	  0.012881	     -1.00	    261.80	    501.45	      3.31	      2.99	     57.93	     52.25	78.46	 1.871e-04	      2.10	0	Gaussian	302.356589	36.489554
49	1	  0.001913	  0.008082	     -1.00	    373.32	    687.89	      5.34	      2.92	     93.46	     51.08	41.46	 2.542e-04	      2.11	0	Gaussian	301.823504	35.579859
50	1	  0.001922	  0.015470	     -1.00	     64.73	    562.82	      2.91	      2.77	     50.94	     48.53	32.73	 2.661e-04	      2.12	0	Gaussian	303.525874	36.277504
51	1	  0.001878	  0.015418	     -1.00	    474.31	    332.53	      2.96	      2.69	     51.80	     47.09	23.11	 2.053e-04	      2.15	0	Gaussian	301.026169	37.181119
52	1	  0.001823	  0.014453	     -1.00	    468.03	    412.00	      2.98	      2.80	     52.10	     49.03	28.81	 1.519e-04	      2.16	0	Gaussian	301.113476	36.815512
53	1	  0.001879	  0.015314	     -1.00	    295.59	     38.63	      2.90	      2.63	     50.75	     46.10	15.47	 2.355e-04	      2.19	0	Gaussian	301.892165	38.630383
54	1	  0.001847	  0.014951	     -1.00	    346.97	     42.59	      2.91	      2.66	     51.00	     46.63	14.89	 1.486e-04	      2.20	0	Gaussian	301.589379	38.588768
55	1	  0.001832	  0.013686	     -1.00	    330.69	    230.95	      2.91	      2.91	     50.90	     50.90	-35.48	 1.742e-04	      2.21	0	Gaussian	301.800318	37.718612
56	1	  0.001849	  0.012403	     -1.00	    434.19	     89.07	      3.37	      2.75	     58.91	     48.12	17.00	 1.205e-04	      2.21	0	Gaussian	301.102899	38.331380
57	1	  0.001879	  0.014390	     -1.00	     78.04	    517.31	      2.92	      2.72	     51.09	     47.60	19.78	 1.866e-04	      2.22	0	Gaussian	303.427183	36.484745
58	1	  0.002232	  0.015209	     -1.00	      5.93	    328.78	      2.88	      2.60	     50.37	     45.43	26.91	 5.777e-04	      2.22	0	Gaussian	303.758722	37.388935
59	1	  0.002188	  0.014465	     -1.00	    119.96	     43.22	      2.98	      2.61	     52.10	     45.61	5.07	 1.175e-03	      2.24	0	Gaussian	302.941411	38.682249
60	1	  0.001949	  0.015024	     -1.00	     85.06	    108.37	      2.83	      2.61	     49.55	     45.65	14.72	 3.076e-04	      2.25	0	Gaussian	303.183386	38.390947
61	1	  0.001942	  0.012225	     -1.00	    401.02	    650.91	      3.00	      2.96	     52.58	     51.75	36.26	 2.337e-04	      2.27	0	Gaussian	301.644297	35.739156
62	1	  0.002035	  0.011669	     -1.00	    192.11	    299.54	      3.21	      2.87	     56.18	     50.16	35.61	 8.497e-04	      2.29	0	Gaussian	302.651614	37.456880
63	1	  0.001847	  0.012845	     -1.00	     52.38	     92.26	      3.00	      2.75	     52.45	     48.19	-2.24	 1.796e-04	      2.30	0	Gaussian	303.369972	38.478470
64	1	  0.001867	  0.013117	     -1.00	    611.55	    333.53	      2.90	      2.69	     50.80	     47.14	18.83	 1.471e-04	      2.35	0	Gaussian	300.233033	37.109173
65	1	  0.001949	  0.012868	     -1.00	    116.63	    478.56	      2.92	      2.65	     51.10	     46.44	26.42	 1.959e-04	      2.37	0	Gaussian	303.184565	36.651419
66	1	  0.001908	  0.009750	     -1.00	    487.65	    134.94	      3.29	      3.07	     57.50	     53.76	-66.18	 4.438e-04	      2.39	0	Gaussian	300.818581	38.092087
67	1	  0.001855	  0.011498	     -1.00	    237.01	    550.24	      3.01	      2.83	     52.64	     49.54	29.54	 1.781e-04	      2.39	0	Gaussian	302.526070	36.272791
68	1	  0.001875	  0.011218	     -1.00	    683.34	    189.91	      3.12	      2.79	     54.64	     48.77	12.48	 1.636e-04	      2.39	0	Gaussian	299.714329	37.736139
69	1	  0.001903	  0.009594	     -1.00	    480.69	    102.16	      3.16	      3.10	     55.28	     54.26	-45.94	 3.052e-04	      2.43	0	Gaussian	300.837572	38.247882
70	1	  0.001857	  0.012577	     -1.00	    291.57	     77.42	      2.85	      2.60	     49.87	     45.54	11.88	 1.494e-04	      2.45	0	Gaussian	301.939270	38.451229
71	1	  0.001846	  0.011444	     -1.00	    527.73	      7.42	      2.95	      2.67	     51.66	     46.75	14.84	 1.456e-04	      2.48	0	Gaussian	300.495451	38.664631
72	1	  0.001902	  0.010507	     -1.00	    359.80	    617.44	      3.00	      2.78	     52.47	     48.71	26.66	 1.621e-04	      2.51	0	Gaussian	301.859697	35.911450
73	1	  0.001939	  0.011205	     -1.00	     96.65	    464.47	      2.93	      2.68	     51.27	     46.91	28.97	 2.180e-04	      2.51	0	Gaussian	303.293534	36.724230
74	1	  0.001841	  0.011199	     -1.00	     61.26	    260.77	      2.88	      2.68	     50.43	     46.95	17.18	 1.163e-04	      2.52	0	Gaussian	303.400614	37.687289
75	1	  0.001861	  0.010957	     -1.00	    171.36	    426.58	      2.90	      2.72	     50.71	     47.55	19.18	 1.320e-04	      2.53	0	Gaussian	302.840182	36.873103
76	1	  0.002030	  0.010421	     -1.00	    321.27	    247.90	      2.96	      2.75	     51.76	     48.21	9.54	 6.205e-04	      2.54	0	Gaussian	301.865635	37.643806
77	1	  0.001852	  0.010301	     -1.00	    275.04	    339.76	      2.99	      2.75	     52.25	     48.18	22.53	 1.264e-04	      2.55	0	Gaussian	302.189180	37.235936
78	1	  0.001926	  0.010516	     -1.00	    331.14	    400.60	      2.94	      2.66	     51.38	     46.54	21.16	 3.070e-04	      2.58	0	Gaussian	301.898157	36.929405
79	1	  0.001871	  0.009139	     -1.00	    461.77	    653.28	      3.18	      2.82	     55.73	     49.31	28.06	 1.489e-04	      2.58	0	Gaussian	301.300281	35.701804
80	1	  0.001840	  0.008623	     -1.00	     85.44	    143.24	      3.22	      2.79	     56.41	     48.77	31.89	 1.338e-04	      2.64	0	Gaussian	303.198902	38.227698
81	1	  0.001803	  0.003461	     -1.00	     24.34	    193.97	      7.68	      2.89	    134.44	     50.54	21.29	 1.934e-04	      2.65	0	Gaussian	303.586388	38.012737
82	1	  0.001853	  0.009091	     -1.00	    142.27	    283.93	      2.92	      2.83	     51.04	     49.59	-8.91	 1.166e-04	      2.69	0	Gaussian	302.935694	37.549064
83	1	  0.002079	  0.007412	     -1.00	    221.83	    637.56	      3.52	      2.74	     61.68	     48.02	20.42	 5.865e-04	      2.72	0	Gaussian	302.659812	35.873388
84	1	  0.001832	  0.008097	     -1.00	    148.96	    137.71	      3.23	      2.73	     56.47	     47.85	6.09	 1.042e-04	      2.73	0	Gaussian	302.819081	38.229191
85	1	  0.001818	  0.008269	     -1.00	    386.59	    438.15	      3.04	      2.80	     53.15	     48.94	25.96	 1.871e-04	      2.75	0	Gaussian	301.599712	36.731021
86	1	  0.001946	  0.006959	     -1.00	     42.12	    378.64	      3.50	      2.87	     61.28	     50.31	65.29	 4.786e-04	      2.75	0	Gaussian	303.569949	37.143647
87	1	  0.001828	  0.008530	     -1.00	    494.38	    281.26	      2.98	      2.73	     52.23	     47.78	25.64	 1.158e-04	      2.77	0	Gaussian	300.876266	37.409407
88	1	  0.001925	  0.008148	     -1.00	    669.90	     55.84	      2.96	      2.88	     51.79	     50.46	52.54	 2.340e-04	      2.77	0	Gaussian	299.693223	38.364269
89	1	  0.001836	  0.009273	     -1.00	     69.20	     90.47	      2.85	      2.60	     49.88	     45.52	16.20	 1.325e-04	      2.78	0	Gaussian	303.268741	38.480635
90	1	  0.001839	  0.007984	     -1.00	    424.97	    142.33	      3.08	      2.73	     53.97	     47.74	13.60	 1.234e-04	      2.80	0	Gaussian	301.191681	38.087961
91	1	  0.002090	  0.008043	     -1.00	    193.23	    649.24	      3.08	      2.71	     53.85	     47.51	13.53	 4.798e-04	      2.80	0	Gaussian	302.829632	35.829958
92	1	  0.001861	  0.006831	     -1.00	     80.85	    476.27	      3.21	      2.96	     56.27	     51.88	57.17	 1.389e-04	      2.82	0	Gaussian	303.391108	36.674907
93	1	  0.001909	  0.007836	     -1.00	    433.53	    613.17	      3.04	      2.78	     53.14	     48.73	33.46	 1.527e-04	      2.82	0	Gaussian	301.436463	35.899611
94	1	  0.001868	  0.008221	     -1.00	     61.09	    343.96	      2.79	      2.79	     48.79	     48.79	-27.88	 1.342e-04	      2.84	0	Gaussian	303.442193	37.298864
95	1	  0.001867	  0.007149	     -1.00	    467.72	    271.84	      3.04	      2.99	     53.15	     52.27	17.35	 1.770e-04	      2.84	0	Gaussian	301.025190	37.465839
96	1	  0.001856	  0.007496	     -1.00	     65.51	    506.02	      2.96	      2.87	     51.74	     50.28	37.94	 1.517e-04	      2.85	0	Gaussian	303.494383	36.541682
97	1	  0.001881	  0.006884	     -1.00	    586.11	    405.29	      3.10	      2.84	     54.30	     49.67	29.18	 1.098e-04	      2.91	0	Gaussian	300.429078	36.789952
98	1	  0.001821	  0.006251	     -1.00	    595.62	    227.63	      3.53	      2.74	     61.80	     47.96	11.53	 8.998e-05	      2.91	0	Gaussian	300.251245	37.607725
99	1	  0.001821	  0.006279	     -1.00	    189.75	    462.37	      3.21	      2.93	     56.24	     51.30	6.52	 7.193e-05	      2.93	0	Gaussian	302.752195	36.699509
100	1	  0.001826	  0.006968	     -1.00	    463.07	    220.66	      3.06	      2.76	     53.64	     48.35	21.37	 9.860e-05	      2.94	0	Gaussian	301.019051	37.705745
101	1	  0.001869	  0.007218	     -1.00	    306.39	    386.40	      2.95	      2.68	     51.68	     46.97	23.13	 1.021e-04	      2.98	0	Gaussian	302.033536	37.005885
102	1	  0.002060	  0.007532	     -1.00	    232.95	    458.71	      2.83	      2.63	     49.58	     45.99	12.31	 7.983e-04	      2.99	0	Gaussian	302.499976	36.699662
103	1	  0.002083	  0.007237	     -1.00	    224.17	    452.12	      2.89	      2.70	     50.52	     47.27	24.61	 8.015e-04	      2.99	0	Gaussian	302.547258	36.733809
104	1	  0.002458	  0.008656	     -1.00	     70.39	    488.52	      2.63	      2.46	     46.03	     43.12	40.58	 3.552e-03	      2.99	0	Gaussian	303.457703	36.621479
105	1	  0.001854	  0.007060	     -1.00	    264.07	    189.22	      2.95	      2.68	     51.59	     46.91	18.44	 2.988e-04	      3.00	0	Gaussian	302.167330	37.941741
106	1	  0.001822	  0.006514	     -1.00	     52.88	    616.06	      3.01	      2.81	     52.69	     49.10	39.43	 1.107e-04	      3.01	0	Gaussian	303.619177	36.033871
107	1	  0.001808	  0.006255	     -1.00	    506.29	    370.91	      3.11	      2.80	     54.48	     49.00	66.01	 9.070e-05	      3.01	0	Gaussian	300.866092	36.987989
108	1	  0.001794	  0.006206	     -1.00	     58.72	    636.44	      3.08	      2.85	     53.90	     49.82	34.11	 7.905e-05	      3.03	0	Gaussian	303.595069	35.937140
109	1	  0.001930	  0.007019	     -1.00	     36.48	    145.27	      2.87	      2.67	     50.17	     46.68	0.90	 4.795e-04	      3.05	0	Gaussian	303.490788	38.236220
110	1	  0.001966	  0.006544	     -1.00	    400.01	    220.94	      2.95	      2.74	     51.58	     48.00	25.13	 4.604e-04	      3.06	0	Gaussian	301.388027	37.734006
111	1	  0.001810	  0.006122	     -1.00	    369.48	    315.02	      3.01	      2.84	     52.74	     49.65	22.91	 9.133e-05	      3.07	0	Gaussian	301.624351	37.310402
112	1	  0.001830	  0.005728	     -1.00	    174.83	    506.82	      3.11	      2.92	     54.36	     51.16	43.59	 8.724e-05	      3.07	0	Gaussian	302.861865	36.498424
113	1	  0.001873	  0.005904	     -1.00	    569.78	    487.26	      3.08	      2.82	     53.84	     49.39	25.12	 2.051e-04	      3.09	0	Gaussian	300.578010	36.418959
114	1	  0.001820	  0.006152	     -1.00	      6.39	    597.36	      3.01	      2.72	     52.61	     47.60	38.40	 1.050e-04	      3.11	0	Gaussian	303.878588	36.136237
115	1	  0.001803	  0.006218	     -1.00	     43.74	    421.52	      3.00	      2.73	     52.56	     47.80	25.79	 7.613e-05	      3.11	0	Gaussian	303.580850	36.943076
116	1	  0.001873	  0.002771	     -1.00	    291.91	    218.33	      5.63	      3.24	     98.57	     56.70	-46.25	 2.930e-04	      3.12	0	Gaussian	302.020397	37.794221
117	1	  0.002052	  0.006685	     -1.00	    352.13	    319.70	      2.80	      2.67	     49.05	     46.70	18.55	 5.935e-04	      3.13	0	Gaussian	301.728234	37.296290
118	1	  0.001901	  0.004528	     -1.00	    122.91	    669.63	      3.80	      2.85	     66.59	     49.96	-17.82	 3.225e-04	      3.13	0	Gaussian	303.242568	35.760842
119	1	  0.001881	  0.006325	     -1.00	    166.05	    263.72	      2.89	      2.72	     50.63	     47.68	18.70	 1.232e-04	      3.14	0	Gaussian	302.785327	37.634165
120	1	  0.001878	  0.004981	     -1.00	    144.12	    176.12	      3.18	      3.06	     55.66	     53.56	82.34	 1.513e-04	      3.14	0	Gaussian	302.868189	38.051634
121	1	  0.001859	  0.004789	     -1.00	    224.36	    497.11	      3.23	      3.11	     56.51	     54.44	-51.45	 1.641e-04	      3.17	0	Gaussian	302.570448	36.524558
122	1	  0.001808	  0.004825	     -1.00	    523.77	    389.85	      3.17	      3.13	     55.48	     54.86	11.98	 1.047e-04	      3.17	0	Gaussian	300.777636	36.891862
123	1	  0.001861	  0.005241	     -1.00	    392.79	    563.40	      3.13	      2.89	     54.80	     50.57	13.14	 1.329e-04	      3.17	0	Gaussian	301.639274	36.147698
124	1	  0.001947	  0.005521	     -1.00	    512.08	    617.29	      3.00	      2.85	     52.50	     49.96	27.24	 2.352e-04	      3.18	0	Gaussian	300.991923	35.845372
125	1	  0.001860	  0.004844	     -1.00	    197.71	    449.66	      3.15	      3.10	     55.12	     54.19	-57.55	 9.901e-05	      3.18	0	Gaussian	302.699333	36.755568
126	1	  0.001807	  0.005825	     -1.00	     21.62	    286.76	      2.98	      2.74	     52.09	     48.03	10.44	 6.309e-05	      3.18	0	Gaussian	303.646713	37.579865
127	1	  0.001865	  0.005150	     -1.00	    333.75	    537.07	      3.13	      2.86	     54.85	     49.97	24.14	 1.215e-04	      3.19	0	Gaussian	301.962439	36.294796
128	1	  0.001882	  0.005432	     -1.00	    290.75	    594.74	      3.04	      2.82	     53.15	     49.39	41.60	 3.578e-04	      3.19	0	Gaussian	302.241838	36.044971
129	1	  0.001884	  0.003764	     -1.00	    114.03	    610.59	      3.55	      3.48	     62.10	     60.84	43.31	 1.717e-04	      3.21	0	Gaussian	303.264702	36.038208
130	1	  0.002045	  0.006102	     -1.00	    231.33	    638.51	      2.86	      2.64	     50.02	     46.14	32.28	 6.508e-04	      3.21	0	Gaussian	302.605907	35.865328
131	1	  0.001855	  0.004903	     -1.00	    539.60	    279.95	      3.18	      2.98	     55.67	     52.15	-65.12	 1.723e-04	      3.21	0	Gaussian	300.612702	37.393449
132	1	  0.001878	  0.005699	     -1.00	    671.46	      5.09	      2.97	      2.71	     52.04	     47.51	14.76	 8.998e-05	      3.22	0	Gaussian	299.646070	38.598627
133	1	  0.001840	  0.005538	     -1.00	    353.80	    376.16	      2.95	      2.82	     51.63	     49.31	18.02	 2.504e-04	      3.22	0	Gaussian	301.752300	37.033165
134	1	  0.001869	  0.005214	     -1.00	    339.17	    629.25	      3.10	      2.83	     54.22	     49.51	31.96	 2.215e-04	      3.23	0	Gaussian	301.984294	35.865347
135	1	  0.001816	  0.005113	     -1.00	    492.41	    297.58	      3.14	      2.81	     54.96	     49.21	16.25	 7.646e-05	      3.24	0	Gaussian	300.898430	37.334627
136	1	  0.001831	  0.005372	     -1.00	    631.96	    249.21	      2.99	      2.76	     52.42	     48.36	12.48	 8.852e-05	      3.25	0	Gaussian	300.055517	37.488931
137	1	  0.001868	  0.005447	     -1.00	    308.40	     70.41	      3.03	      2.67	     53.10	     46.77	16.99	 1.396e-04	      3.26	0	Gaussian	301.835239	38.476492
138	1	  0.001842	  0.004248	     -1.00	    293.64	    494.36	      3.26	      3.09	     57.03	     54.12	47.40	 9.273e-05	      3.29	0	Gaussian	302.168972	36.509594
139	1	  0.001788	  0.004602	     -1.00	    491.19	    676.34	      3.19	      2.94	     55.88	     51.39	27.05	 1.019e-04	      3.30	0	Gaussian	301.147682	35.582207
140	1	  0.001815	  0.004471	     -1.00	    527.09	    424.20	      3.18	      2.97	     55.71	     51.97	12.83	 7.493e-05	      3.30	0	Gaussian	300.781142	36.731210
141	1	  0.001896	  0.004712	     -1.00	     82.51	    675.08	      2.96	      2.95	     51.76	     51.72	21.84	 2.893e-04	      3.31	0	Gaussian	303.476658	35.749507
142	1	  0.001865	  0.005033	     -1.00	    277.36	    282.83	      3.04	      2.69	     53.15	     47.16	33.62	 2.255e-04	      3.32	0	Gaussian	302.143135	37.500003
143	1	  0.001884	  0.004798	     -1.00	    595.47	    471.24	      3.08	      2.82	     53.84	     49.44	23.30	 2.385e-04	      3.33	0	Gaussian	300.420238	36.480422
144	1	  0.001827	  0.004926	     -1.00	    269.66	    227.79	      2.99	      2.82	     52.41	     49.39	11.37	 7.896e-05	      3.34	0	Gaussian	302.156636	37.759628
145	1	  0.002157	  0.003146	     -1.00	    184.94	    641.17	      4.39	      2.94	     76.82	     51.54	-45.65	 8.132e-04	      3.34	0	Gaussian	302.872997	35.870473
146	1	  0.001843	  0.004849	     -1.00	     37.28	    280.06	      3.03	      2.81	     53.00	     49.26	17.09	 8.083e-05	      3.34	0	Gaussian	303.551283	37.605708
147	1	  0.001883	  0.004422	     -1.00	    114.98	    528.12	      3.17	      2.91	     55.47	     50.97	26.59	 1.571e-04	      3.35	0	Gaussian	303.218693	36.421327
148	1	  0.001812	  0.004141	     -1.00	    653.45	     25.85	      3.31	      2.90	     57.90	     50.81	5.73	 9.277e-05	      3.37	0	Gaussian	299.767511	38.512340
149	1	  0.001805	  0.004378	     -1.00	    141.37	    403.68	      3.19	      2.84	     55.78	     49.75	15.30	 6.116e-05	      3.38	0	Gaussian	303.002865	36.991080
150	1	  0.001819	  0.004438	     -1.00	    399.48	    412.53	      3.12	      2.88	     54.54	     50.42	21.56	 1.331e-04	      3.38	0	Gaussian	301.509683	36.844226
151	1	  0.001934	  0.004639	     -1.00	    494.27	     58.81	      3.04	      2.80	     53.21	     48.96	61.69	 2.161e-04	      3.38	0	Gaussian	300.728375	38.442704
152	1	  0.001834	  0.004786	     -1.00	    168.45	    247.46	      3.01	      2.74	     52.70	     47.91	15.64	 9.135e-05	      3.39	0	Gaussian	302.762596	37.709100
153	1	  0.001764	  0.004148	     -1.00	    584.92	    552.74	      3.13	      3.04	     54.78	     53.25	43.12	 5.496e-05	      3.39	0	Gaussian	300.535339	36.109160
154	1	  0.001862	  0.003156	     -1.00	    681.66	     91.04	      3.51	      3.47	     61.42	     60.69	72.45	 1.346e-04	      3.39	0	Gaussian	299.650642	38.194768
155	1	  0.001930	  0.005246	     -1.00	     58.32	     64.42	      2.81	      2.63	     49.19	     46.05	-0.79	 2.930e-04	      3.40	0	Gaussian	303.320554	38.606565
156	1	  0.001846	  0.004330	     -1.00	    327.34	    411.96	      3.10	      2.82	     54.18	     49.33	10.25	 2.373e-04	      3.40	0	Gaussian	301.926831	36.878239
157	1	  0.001880	  0.004302	     -1.00	    108.83	    189.86	      3.02	      2.96	     52.83	     51.77	7.87	 1.945e-04	      3.40	0	Gaussian	303.084118	38.001022
158	1	  0.001906	  0.002744	     -1.00	    585.77	    647.23	      4.62	      3.01	     80.88	     52.68	-24.79	 4.508e-04	      3.41	0	Gaussian	300.593286	35.672813
