# 545 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.001893	  0.108484	     -1.00	     77.74	     20.64	      2.92	      2.84	     51.13	     49.72	-55.20	 1.562e-03	     -0.02	0	Gaussian	294.936695	33.978904
2	1	  0.001655	  0.069752	     -1.00	    519.61	     12.16	      2.93	      2.56	     51.25	     44.80	-43.36	 9.660e-04	      0.57	0	Gaussian	292.570685	33.727608
3	1	  0.001639	  0.062613	     -1.00	    485.00	     75.27	      3.02	      2.64	     52.91	     46.27	-41.06	 9.545e-04	      0.62	0	Gaussian	292.815980	33.470266
4	1	  0.001690	  0.062934	     -1.00	    395.66	    148.54	      2.93	      2.66	     51.33	     46.56	-38.16	 1.001e-03	      0.64	0	Gaussian	293.357769	33.203468
5	1	  0.001650	  0.057596	     -1.00	    303.72	     29.75	      2.86	      2.67	     50.03	     46.81	-47.64	 7.656e-04	      0.76	0	Gaussian	293.733165	33.795281
6	1	  0.001675	  0.057693	     -1.00	    498.24	    576.75	      3.03	      2.44	     52.97	     42.67	-43.02	 9.792e-04	      0.79	0	Gaussian	293.227802	31.237596
7	1	  0.001647	  0.041158	     -1.00	     21.67	    226.65	      2.97	      2.81	     51.90	     49.14	-34.87	 6.578e-04	      1.03	0	Gaussian	295.412203	33.083559
8	1	  0.001642	  0.037241	     -1.00	    123.94	    587.90	      2.89	      2.89	     50.58	     50.58	45.03	 7.324e-04	      1.13	0	Gaussian	295.171303	31.408511
9	1	  0.001561	  0.036247	     -1.00	    254.67	    111.26	      3.00	      2.68	     52.44	     46.93	-41.49	 5.608e-04	      1.20	0	Gaussian	294.069746	33.461382
10	1	  0.001606	  0.036703	     -1.00	    183.57	    356.48	      3.00	      2.64	     52.56	     46.16	-43.21	 6.415e-04	      1.21	0	Gaussian	294.663716	32.407026
11	1	  0.001515	  0.029067	     -1.00	    372.16	    585.00	      3.18	      2.58	     55.74	     45.07	-45.09	 5.082e-04	      1.42	0	Gaussian	293.883001	31.278323
12	1	  0.001461	  0.028173	     -1.00	    161.04	     28.22	      2.94	      2.78	     51.55	     48.59	-23.73	 4.063e-04	      1.46	0	Gaussian	294.495220	33.893410
13	1	  0.001496	  0.029368	     -1.00	    252.79	     48.20	      2.93	      2.61	     51.23	     45.67	-33.94	 4.044e-04	      1.49	0	Gaussian	294.022046	33.745503
14	1	  0.001548	  0.021665	     -1.00	    139.54	     28.40	      3.17	      2.76	     55.55	     48.25	-14.79	 3.841e-04	      1.67	0	Gaussian	294.610833	33.905991
15	1	  0.001575	  0.024816	     -1.00	    577.77	    396.85	      2.88	      2.53	     50.45	     44.20	-53.42	 4.814e-04	      1.72	0	Gaussian	292.647630	31.980525
16	1	  0.001481	  0.021365	     -1.00	    141.72	    152.49	      2.96	      2.79	     51.77	     48.85	-51.43	 3.262e-04	      1.74	0	Gaussian	294.708279	33.346376
17	1	  0.001470	  0.022147	     -1.00	    371.70	    195.38	      3.00	      2.59	     52.51	     45.27	-44.08	 3.613e-04	      1.77	0	Gaussian	293.528216	33.010078
18	1	  0.001485	  0.020723	     -1.00	    223.50	    496.17	      3.09	      2.62	     54.15	     45.94	-51.22	 3.843e-04	      1.80	0	Gaussian	294.575223	31.760427
